candidate sequence ID	candidate nucleotide count	errors	template ID	BLAST percent identity to template	candidate nucleotide count post-NAST
DQ092757.1.1482 DQ092757.1.1482	1467		4473186	90.70	1466
DQ129260.1.1510 DQ129260.1.1510	1510		274948	89.60	1443
DQ453808.1.1501 DQ453808.1.1501	1498		4475573	91.50	1498
DQ521520.1.1415 DQ521520.1.1415	1415		545782	91.90	1415
DQ814686.1.1405 DQ814686.1.1405	1405		2776987	87.30	1355
DQ833492.1.1550 DQ833492.1.1550	1538		4225237	87.20	1519
EF018858.1.1332 EF018858.1.1332	1332		2679706	90.90	1332
EF019221.1.1366 EF019221.1.1366	1366		592682	88.10	1366
EF019577.1.1381 EF019577.1.1381	1381		1113453	83.50	1381
EF019828.1.1383 EF019828.1.1383	1383		6817	86.20	1383
EF020362.1.912 EF020362.1.912	912	No search results.
EF516526.1.1465 EF516526.1.1465	1465		3754496	84.60	1465
EF516838.1.1429 EF516838.1.1429	1429		4394175	88.20	1409
EF516898.1.1441 EF516898.1.1441	1441		361111	89.50	1438
EF516933.1.1401 EF516933.1.1401	1401		4328672	83.00	1401
EF516935.1.1445 EF516935.1.1445	1445		1113453	88.40	1445
EF585995.1.1478 EF585995.1.1478	1478		784950	90.50	1437
EF612375.1.1470 EF612375.1.1470	1470		306516	85.20	1465
EU132235.1.1367 EU132235.1.1367	1354		4421369	86.00	1354
EU132388.1.1318 EU132388.1.1318	1318		1003093	90.10	1318
EU132732.1.1299 EU132732.1.1299	1299		264412	88.10	1299
EU132738.1.1316 EU132738.1.1316	1316		647539	87.90	1315
EU132748.1.1342 EU132748.1.1342	1342		254103	86.70	1342
EU132929.1.1363 EU132929.1.1363	1363		247060	100.00	1362
EU133027.1.1369 EU133027.1.1369	1369		254103	89.80	1369
EU133103.1.1364 EU133103.1.1364	1364		200629	83.40	1364
EU134034.1.1325 EU134034.1.1325	1325		546459	85.40	1325
EU134302.1.1261 EU134302.1.1261	1261		325833	81.30	1261
EU134780.1.1363 EU134780.1.1363	1363		245254	85.10	1356
EU135132.1.1360 EU135132.1.1360	1360		706478	85.70	1360
EU135202.1.1382 EU135202.1.1382	1382		238704	87.90	1378
EU135235.1.1296 EU135235.1.1296	1296		210216	89.30	1296
EU135260.1.1351 EU135260.1.1351	1351		545782	95.60	1351
EU192989.1.1510 EU192989.1.1510	1498		560478	92.00	1459
EU289502.1.1512 EU289502.1.1512	1509		304089	87.70	1405
EU335147.1.1483 EU335147.1.1483	1483		218894	87.70	1440
EU589442.1.1434 EU589442.1.1434	1434		4069290	90.50	1418
EU735688.1.1494 EU735688.1.1494	1494		260834	93.80	1490
EU801167.1.1479 EU801167.1.1479	1479		367523	90.20	1473
EU804025.1.1464 EU804025.1.1464	1464		1140163	89.90	1464
EU834793.1.1465 EU834793.1.1465	1465		1125779	87.70	1465
EU881203.1.1521 EU881203.1.1521	1520		210951	95.00	1403
FJ167501.1.1508 FJ167501.1.1508	1500		657046	88.30	1388
FJ232662.1.1369 FJ232662.1.1369	1369		706478	84.70	1358
FJ466092.1.1415 FJ466092.1.1415	1415		550111	90.60	1412
FJ468478.1.1469 FJ468478.1.1469	1448		664150	87.80	1333
FJ478490.1.1477 FJ478490.1.1477	1477		4391685	90.00	1440
FJ529943.1.1487 FJ529943.1.1487	1487		591063	86.40	1466
FJ538127.1.1507 FJ538127.1.1507	1504		18516	88.80	1498
FJ572027.1.1343 FJ572027.1.1343	1343		3843946	84.10	1343
FJ592771.1.1377 FJ592771.1.1377	1377		592682	87.80	1377
FJ624938.1.1511 FJ624938.1.1511	1506		1106267	87.50	1487
FJ790570.1.1324 FJ790570.1.1324	1324		618926	86.70	1320
FJ890997.1.1345 FJ890997.1.1345	1345		926588	91.00	1308
FJ905668.1.1408 FJ905668.1.1408	1408		149907	88.30	1393
FM866286.1.1399 FM866286.1.1399	1399		512542	86.60	1399
FN667313.1.1497 FN667313.1.1497	1497		4423599	86.50	1424
FN667380.1.1469 FN667380.1.1469	1469		274948	87.20	1430
FOOI01000012.232728.234248 FOOI01000012.232728.234248	1497		904322	89.50	1335
FPLK01002212.16.1497 FPLK01002212.16.1497	1482		2888513	89.90	1439
FPLL01000266.15.1509 FPLL01000266.15.1509	1495		1003894	91.60	1344
FPLL01000398.13.1549 FPLL01000398.13.1549	1537		4225237	86.10	1518
FPLL01001179.13.1468 FPLL01001179.13.1468	1456		748865	88.20	1352
FPLL01002580.1.1412 FPLL01002580.1.1412	1412		749805	86.50	1412
FPLL01003290.14.1493 FPLL01003290.14.1493	1480		4385637	86.70	1428
FPLL01005424.11.1493 FPLL01005424.11.1493	1483		605142	89.30	1421
FPLL01008125.9.1445 FPLL01008125.9.1445	1437		1113857	90.20	1336
FPLL01008336.12.1516 FPLL01008336.12.1516	1505		1126307	88.60	1447
FPLL01008750.24.1543 FPLL01008750.24.1543	1520		510276	95.20	1485
FPLP01004475.15.1496 FPLP01004475.15.1496	1482		151011	90.50	1463
FPLP01005060.16.1528 FPLP01005060.16.1528	1513		327512	90.20	1438
FPLP01007159.1.1508 FPLP01007159.1.1508	1508		940592	90.40	1479
FPLP01010336.5.1522 FPLP01010336.5.1522	1518		523761	92.10	1427
FPLP01010422.10.1527 FPLP01010422.10.1527	1518		4198891	89.50	1426
FPLS01000200.33.1514 FPLS01000200.33.1514	1482		4377099	92.80	1443
FPLS01006445.17.1523 FPLS01006445.17.1523	1507		327512	90.30	1432
FPLS01007786.11.1511 FPLS01007786.11.1511	1501		647539	87.70	1351
FPLS01007988.10.1532 FPLS01007988.10.1532	1523		1141105	90.50	1482
FPLS01011084.14.1502 FPLS01011084.14.1502	1489		327512	90.30	1432
FPLS01015067.17.1524 FPLS01015067.17.1524	1508		344789	89.20	1397
FPLS01016786.18.1481 FPLS01016786.18.1481	1464		220160	89.30	1448
FPLS01017201.8.1550 FPLS01017201.8.1550	1543		4098422	93.50	1524
FPLS01017907.9.1534 FPLS01017907.9.1534	1526		72076	88.30	1404
FPLS01022123.17.1392 FPLS01022123.17.1392	1376		4457067	81.00	1359
FPLS01026389.70.1572 FPLS01026389.70.1572	1503		4303896	88.80	1450
FPLS01029994.11.1502 FPLS01029994.11.1502	1492		818146	87.50	1473
FPLS01030084.12.1474 FPLS01030084.12.1474	1463		671400	89.90	1401
FPLS01040294.17.1548 FPLS01040294.17.1548	1532		638942	88.30	1513
FPLS01041244.16.1482 FPLS01041244.16.1482	1467		1142103	87.50	1467
FPLS01049433.1.1388 FPLS01049433.1.1388	1388		4395236	89.30	1388
FPLS01054058.11.1378 FPLS01054058.11.1378	1368		4302012	88.50	1364
FPLS01056923.8.1508 FPLS01056923.8.1508	1501		3843950	87.70	1495
FPLS01058021.16.1495 FPLS01058021.16.1495	1480		37026	88.60	1422
FPLS01061900.16.1530 FPLS01061900.16.1530	1515		536243	88.30	1393
FQ659006.1.1354 FQ659006.1.1354	1354		254722	87.00	1354
FQ659972.1.1350 FQ659972.1.1350	1350		4413176	88.90	1350
FR667807.1.1466 FR667807.1.1466	1466		104326	90.80	1414
FR682687.1.1475 FR682687.1.1475	1475		4463767	91.30	1364
FR684539.1.1493 FR684539.1.1493	1493		91523	93.10	1413
FR750980.1.1402 FR750980.1.1402	1402		837712	88.20	1402
GBGR01020649.1.1279 GBGR01020649.1.1279	1279		904322	88.80	1273
GCNS01007490.111.1566 GCNS01007490.111.1566	1456		3807100	77.90	1428
GEYA01008838.5092.6377 GEYA01008838.5092.6377	1286		203466	78.90	1285
GQ138667.1.1365 GQ138667.1.1365	1365		1130573	88.90	1350
GQ262993.1.1463 GQ262993.1.1463	1463		706478	88.00	1375
GQ264295.1.1447 GQ264295.1.1447	1447		811403	84.70	1428
GQ264367.1.1450 GQ264367.1.1450	1450		809836	89.90	1366
GQ302594.1.1519 GQ302594.1.1519	1511		4389227	86.40	1370
GQ385280.1.1445 GQ385280.1.1445	1440		37026	89.80	1419
GQ388828.1.1514 GQ388828.1.1514	1514		258188	90.10	1390
GQ396805.1.1471 GQ396805.1.1471	1471		210216	87.20	1366
GQ396879.1.1482 GQ396879.1.1482	1482		1126307	89.60	1440
GQ471927.1.1574 GQ471927.1.1574	1574		885978	91.90	1394
GQ487887.1.1482 GQ487887.1.1482	1482		202341	86.50	1385
GQ488008.1.1467 GQ488008.1.1467	1467		259774	89.10	1466
GU444078.1.1429 GU444078.1.1429	1429		186763	88.70	1338
GU444090.1.1445 GU444090.1.1445	1445		158117	89.50	1301
GU731348.1.1372 GU731348.1.1372	1372		651284	88.00	1369
GU983314.1.1407 GU983314.1.1407	1407		292083	86.90	1407
HE614813.1.1480 HE614813.1.1480	1480		354644	89.40	1478
HE818664.1.1451 HE818664.1.1451	1451		2984011	100.00	1451
HF543823.1.1549 HF543823.1.1549	1535		221219	88.40	1475
HG529020.1.1318 HG529020.1.1318	1318		1141105	90.20	1318
HG726037.1.1490 HG726037.1.1490	1490		336760	87.60	1449
HG764470.1.1489 HG764470.1.1489	1489		4374455	86.90	1489
HM129857.1.1443 HM129857.1.1443	1443		278157	87.50	1352
HM186057.1.1369 HM186057.1.1369	1369		1113453	91.10	1369
HM187093.1.1468 HM187093.1.1468	1468		4401161	87.90	1468
HM269975.1.1341 HM269975.1.1341	1341		4430730	86.00	1341
HM277569.1.1354 HM277569.1.1354	1354		1124836	86.30	1354
HM298391.1.1304 HM298391.1.1304	1304		3576145	87.30	1304
HM366518.1.1480 HM366518.1.1480	1480		313367	87.20	1479
HM444922.1.1385 HM444922.1.1385	1385		2819049	92.80	1384
HM445340.1.1498 HM445340.1.1498	1498		810148	100.00	1498
HM445451.1.1521 HM445451.1.1521	1521		221219	90.50	1479
HM445496.1.1378 HM445496.1.1378	1378		3397080	90.40	1378
HM565024.1.1482 HM565024.1.1482	1482		4463767	89.30	1360
HQ118950.1.1461 HQ118950.1.1461	1456		313427	89.30	1398
HQ118971.1.1429 HQ118971.1.1429	1422		1134236	86.10	1422
HQ119644.1.1459 HQ119644.1.1459	1454		313427	89.10	1400
HQ119795.1.1496 HQ119795.1.1496	1491		313925	85.60	1489
HQ120305.1.1514 HQ120305.1.1514	1509		1125779	86.30	1509
HQ120652.1.1513 HQ120652.1.1513	1508		829035	88.90	1505
HQ132393.1.1472 HQ132393.1.1472	1472		546834	87.10	1471
HQ190417.1.1460 HQ190417.1.1460	1458		824639	86.40	1457
HQ397516.1.1522 HQ397516.1.1522	1522		1125422	93.10	1498
HQ397537.1.1522 HQ397537.1.1522	1521		243283	90.00	1371
HQ436500.1.1484 HQ436500.1.1484	1484		93199	88.70	1370
HQ445794.1.1510 HQ445794.1.1510	1510		793706	90.60	1467
HQ597262.1.1507 HQ597262.1.1507	1505		4355671	86.70	1505
HQ597864.1.1508 HQ597864.1.1508	1508		722309	88.50	1472
HQ597963.1.1487 HQ597963.1.1487	1487		104326	85.20	1438
HQ674944.1.1469 HQ674944.1.1469	1466		104326	91.90	1412
HQ697537.1.1517 HQ697537.1.1517	1517		238704	88.90	1382
HQ729887.1.1516 HQ729887.1.1516	1516		560478	90.70	1465
HQ912769.1.1543 HQ912769.1.1543	1534		4406763	90.00	1496
JF176888.1.1309 JF176888.1.1309	1309		3576145	87.20	1309
JF177262.1.1346 JF177262.1.1346	1346		367523	94.00	1346
JF222434.1.1329 JF222434.1.1329	1329		1127856	88.60	1329
JF225480.1.1336 JF225480.1.1336	1336		218894	88.80	1335
JF234832.1.1358 JF234832.1.1358	1358		364760	88.20	1358
JF265970.1.1382 JF265970.1.1382	1382		4260136	94.60	1381
JF428937.1.1521 JF428937.1.1521	1506		1107824	89.50	1501
JF776889.1.1445 JF776889.1.1445	1445		4356455	88.20	1445
JF776949.1.1471 JF776949.1.1471	1471		4356455	86.20	1471
JF796773.1.1377 JF796773.1.1377	1377		1003093	87.50	1377
JF833904.1.1393 JF833904.1.1393	1393		4414872	90.50	1392
JF922429.1.1493 JF922429.1.1493	1493		4352392	100.00	1493
JF922432.1.1509 JF922432.1.1509	1509		545782	88.20	1506
JN003074.1.1264 JN003074.1.1264	1264		4456187	95.20	1264
JN178462.1.1491 JN178462.1.1491	1481		104933	94.90	1413
JN217083.1.1498 JN217083.1.1498	1498		344789	89.80	1404
JN391753.1.1499 JN391753.1.1499	1498		512542	87.10	1498
JN417587.1.1528 JN417587.1.1528	1516		254133	87.10	1352
JN559553.1.1501 JN559553.1.1501	1497		3302038	88.90	1444
JN607063.1.1374 JN607063.1.1374	1374		722309	88.30	1374
JN672296.1.1272 JN672296.1.1272	1272		904322	87.10	1268
JN672522.1.1267 JN672522.1.1267	1267		885978	87.30	1263
JN867708.1.1336 JN867708.1.1336	1336		890463	89.10	1319
JN868812.1.1526 JN868812.1.1526	1514		749805	88.30	1433
JQ426482.1.1443 JQ426482.1.1443	1431		4109984	96.90	1431
JQ769782.1.1495 JQ769782.1.1495	1484		1003093	86.90	1484
JQ771984.1.1399 JQ771984.1.1399	1399		4356455	86.70	1399
JQ798399.1.1473 JQ798399.1.1473	1473		890463	90.80	1339
JQ801184.1.1511 JQ801184.1.1511	1511		1047401	90.10	1366
JQ815633.1.1470 JQ815633.1.1470	1470		155766	90.50	1468
JQ825182.1.1495 JQ825182.1.1495	1495		263866	85.00	1414
JQ861366.1.1461 JQ861366.1.1461	1458		313427	89.10	1402
JQ978496.1.911 JQ978496.1.911	911	No search results.
JX079422.1.1487 JX079422.1.1487	1475		206331	89.10	1377
JX120409.1.1498 JX120409.1.1498	1498		793706	91.40	1458
JX222097.1.1289 JX222097.1.1289	1289		237889	87.70	1289
JX223211.1.1509 JX223211.1.1509	1509		1135999	92.00	1402
JX223526.1.1471 JX223526.1.1471	1471		512542	85.40	1471
JX224997.1.1484 JX224997.1.1484	1484		4295363	87.70	1484
JX240844.1.1492 JX240844.1.1492	1492		207320	90.20	1378
JX489960.1.1502 JX489960.1.1502	1502		95215	88.50	1460
JX504978.1.1448 JX504978.1.1448	1448		904322	88.30	1345
JX576010.1.1462 JX576010.1.1462	1459		832304	86.50	1458
JX898158.1.1550 JX898158.1.1550	1536		4389227	95.80	1377
JX898159.1.1551 JX898159.1.1551	1537		4389685	91.20	1499
JX945568.1.1547 JX945568.1.1547	1536		210951	92.60	1403
KC009895.1.1442 KC009895.1.1442	1442		4349833	89.80	1439
KC172323.1.1518 KC172323.1.1518	1518		4355671	86.20	1515
KC331430.1.1494 KC331430.1.1494	1494		344789	90.80	1396
KC331508.1.1507 KC331508.1.1507	1507		4380648	83.90	1507
KC358648.1.1245 KC358648.1.1245	1245		1126307	87.50	1245
KC554142.1.1509 KC554142.1.1509	1494		218894	92.20	1437
KC554282.1.1513 KC554282.1.1513	1498		647539	89.40	1350
KC554370.1.1524 KC554370.1.1524	1510		4463767	92.90	1369
KC554430.1.1535 KC554430.1.1535	1520		264412	88.60	1366
KC554664.1.1517 KC554664.1.1517	1502		4463767	87.80	1360
KC668314.1.1582 KC668314.1.1582	1527		3002429	93.00	1422
KC854834.1.1482 KC854834.1.1482	1479		266984	88.80	1406
KF067570.1.1376 KF067570.1.1376	1376		509776	81.50	1376
KF182262.1.1448 KF182262.1.1448	1448		200681	89.80	1354
KF193204.1.1522 KF193204.1.1522	1481		351445	88.50	1430
KF481610.1.1493 KF481610.1.1493	1492		327512	91.30	1432
KF494554.1.1494 KF494554.1.1494	1494		344789	89.40	1398
KF557657.1.1460 KF557657.1.1460	1455		33696	88.40	1454
KF836163.1.1506 KF836163.1.1506	1506		220050	90.80	1411
KF975571.1.1478 KF975571.1.1478	1466		1144456	87.30	1466
KF986848.1.1483 KF986848.1.1483	1479		336760	89.00	1410
KJ176810.1.1433 KJ176810.1.1433	1433		833140	89.20	1433
KJ192136.1.1528 KJ192136.1.1528	1528		236255	90.60	1376
KJ439964.1.1533 KJ439964.1.1533	1521		4323733	91.50	1413
KJ473428.1.1472 KJ473428.1.1472	1472		544631	93.90	1417
KJ540660.1.1471 KJ540660.1.1471	1471		221219	87.50	1468
KJ540805.1.1465 KJ540805.1.1465	1465		93838	86.90	1439
KJ782244.1.1479 KJ782244.1.1479	1479		4351772	88.70	1473
KJ782955.1.1522 KJ782955.1.1522	1522		4388864	87.00	1452
KJ783122.1.1497 KJ783122.1.1497	1497		6817	86.60	1469
KJ807925.1.1429 KJ807925.1.1429	1429		1116881	94.50	1383
KJ807972.1.1454 KJ807972.1.1454	1454		206331	87.70	1372
KM200513.1.1511 KM200513.1.1511	1511		706478	89.80	1368
KM205527.1.1424 KM205527.1.1424	1424		2627106	89.20	1424
KP142311.1.1494 KP142311.1.1494	1494		4313979	87.00	1451
KP150696.1.1498 KP150696.1.1498	1498		4340746	90.60	1327
KR026987.1.1396 KR026987.1.1396	1396		336760	89.00	1396
KR110083.1.1494 KR110083.1.1494	1494		4456735	89.00	1445
KR537271.1.1523 KR537271.1.1523	1523		202566	93.30	1437
KT154952.1.1399 KT154952.1.1399	1398		2373126	89.60	1398
KT697639.1.1463 KT697639.1.1463	1463		227522	86.50	1461
KT880328.1.1497 KT880328.1.1497	1497		4014251	86.20	1497
KT905499.1.1619 KT905499.1.1619	1528		585888	91.80	1375
KT905735.1.1519 KT905735.1.1519	1505		651284	88.70	1373
KU057006.1.1502 KU057006.1.1502	1499		641796	91.30	1478
KU515030.1.1496 KU515030.1.1496	1496		93530	88.70	1432
KU951449.1.1493 KU951449.1.1493	1464		529501	88.20	1364
KX000028.1.1269 KX000028.1.1269	1269		368639	87.60	1269
KX097573.1.1501 KX097573.1.1501	1501		797337	92.30	1352
KX380192.1.1483 KX380192.1.1483	1483		4463767	92.10	1358
KX753081.1.1450 KX753081.1.1450	1450		313427	87.80	1390
KX832991.1.1445 KX832991.1.1445	1445		367523	92.70	1445
KY190498.1.1442 KY190498.1.1442	1442		552576	85.60	1442
KY992663.1.1501 KY992663.1.1501	1450		210217	89.90	1333
LC177337.1.1456 LC177337.1.1456	1456		1147044	87.60	1344
LMPS01000001.74.1588 LMPS01000001.74.1588	1486		544631	94.10	1415
LN569990.1.1318 LN569990.1.1318	1318		519104	86.60	1318
LN570741.1.1368 LN570741.1.1368	1368		165732	89.80	1368
LN573947.1.1371 LN573947.1.1371	1308		263866	87.20	1308
LN574643.1.1321 LN574643.1.1321	1321		822604	86.50	1320
LT629791.3242595.3244135 LT629791.3242595.3244135	1517		264412	88.20	1366
LZRD01000007.16.1538 LZRD01000007.16.1538	1515		3843950	94.20	1511
MCHG01000001.1086966.1088458 MCHG01000001.1086966.1088458	1493		276120	91.40	1433
MERK01000059.2660.4227 MERK01000059.2660.4227	1537		221219	89.40	1476
Z95709.1.1515 Z95709.1.1515	1503		592682	90.20	1487
PyNastAligner parameters:
Algorithm:NAST
Application:PyNAST
blast_db:None
min_len:1103
min_pct:75.0
pairwise_alignment_method:uclust
template_filepath:/home/ilya/miniconda2/envs/qiime1/lib/python2.7/site-packages/qiime_default_reference/gg_13_8_otus/rep_set_aligned/85_otus.pynast.fasta
